date,debit_account,debit_name,debit_inn,credit_account,credit_name,credit_inn,debit_amount,credit_amount,purpose,risk,risk_comment
2025-08-25 09:46:03,40702810900000123456,"ООО ""СтройГарант""",7712345678,72774348734714345581,"ООО ""Фирма_1005""",2236231665,37726.54,,Оплата электроэнергии по счёту №56917 от 18.08.2025,Низкий,Регулярная обязательная выплата
2025-09-21 03:53:11,40702810900000123456,"ООО ""СтройГарант""",7712345678,31165667010651333872,"ПАО ""НацБанк""",7700000001,62811.01,,"Перечисление НДС за сентября 2025, платежное поручение 1862",Низкий,Регулярная обязательная выплата
2025-08-01 08:08:45,40702810900000123456,"ООО ""СтройГарант""",7712345678,10310518347382997376,"АО ""Банк Финанс""",7733333333,4764385.81,,"Выдан займ по договору займа №Z-1822 от 01.08.2025, срок возврата 22.12.2025",Средний,Операция по кредиту/займу с банком
2025-09-12 21:02:59,28120679740344713493,"ООО ""Фирма_1015""",6183242102,40702810900000123456,"ООО ""СтройГарант""",7712345678,,420861.17,"Разовый приход: оплата по счёту №21810, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-16 13:33:44,40702810900000123456,"ООО ""СтройГарант""",7712345678,94406409097439533942,"ООО ""Фирма_1024""",1047095214,547284.82,,Возврат денежных средств по счёту №50635 от 10.08.2025,Низкий,Возврат по счёту/корректировка
2025-08-24 12:14:51,40702810900000123456,"ООО ""СтройГарант""",7712345678,58685014294019655698,"ООО ""Фирма_1001""",1693406088,723830.65,,Выплата заработной платы за августа 2025 по ведомости №5608,Низкий,Выплата заработной платы по ведомости
2025-09-04 06:00:31,40702810900000123456,"ООО ""СтройГарант""",7712345678,80598262045053315869,Смирнова А.А.,812191361939,1525233.85,,"Разовый перевод, основание: проведение расчетов по накладной",Высокий,Перевод физическому лицу без очевидного договора/назначения
2025-08-21 13:29:05,16697848018451462704,"ООО ""ЖилФонд""",7722223334,40702810900000123456,"ООО ""СтройГарант""",7712345678,,684474.45,"Разовый приход: оплата по счёту №50966, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-21 21:26:23,28498776945314737996,"ООО ""Фирма_1010""",5075273545,40702810900000123456,"ООО ""СтройГарант""",7712345678,,1228686.35,"Оплата услуг по договору №US-1534 (Предоставление услуг), акт №93746",Средний,Крупная сумма за услуги — проверьте акт оказанных услуг
2025-09-17 23:23:29,38637940265423511615,"ООО ""МеталПро""",7741313131,40702810900000123456,"ООО ""СтройГарант""",7712345678,,341148.77,"Оплата услуг по договору №US-9644 (Предоставление услуг), акт №28629",Низкий,Оплата услуг по договору
2025-08-10 02:28:08,40702810900000123456,"ООО ""СтройГарант""",7712345678,28498776945314737996,"ООО ""Фирма_1010""",5075273545,1126736.07,,"Оплата по договору поставки №1540 от 10.08.2025, счет №29320 от 01.08.2025, без НДС",Низкий,Регулярная обязательная выплата
2025-09-03 09:24:08,40702810900000123456,"ООО ""СтройГарант""",7712345678,35615951484656482366,"ООО ""Фирма_1002""",2994680443,211729.28,,"Разовый перевод, основание: проведение расчетов по накладной",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-23 07:28:29,98084124118244935348,Сидоров В.В.,647468723430,40702810900000123456,"ООО ""СтройГарант""",7712345678,,1400563.28,"Оплата услуг по договору №US-1564 (Предоставление услуг), акт №68889",Средний,Крупная сумма за услуги — проверьте акт оказанных услуг
2025-08-12 01:13:26,40702810900000123456,"ООО ""СтройГарант""",7712345678,80598262045053315869,Смирнова А.А.,812191361939,35548.92,,"Оплата аренды офиса по договору №AR-6023 за августа 2025, счет №12130",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-05 10:42:38,39502402681177589178,"ООО ""Фирма_1029""",3908470076,40702810900000123456,"ООО ""СтройГарант""",7712345678,,491797.01,"Разовый приход: оплата по счёту №14233, основание: погашение задолженности по устной договоренности",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-05 20:47:53,40702810900000123456,"ООО ""СтройГарант""",7712345678,49663193149190586518,"ООО ""Фирма_1009""",5067165726,958456.96,,"Разовый перевод, основание: компенсация затрат по акту",Средний,Операция стандартного типа — рекомендована сверка документов
2025-08-23 18:55:42,61317127484677378263,"ООО ""Фирма_1019""",9821465840,40702810900000123456,"ООО ""СтройГарант""",7712345678,,1909199.8,"Оплата по договору поставки №9689 от 23.08.2025 (покупка), счет-фактура №98435",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-24 00:29:09,40702810900000123456,"ООО ""СтройГарант""",7712345678,43161172400504556238,"ООО ""Фирма_1022""",6922219693,773058.74,,"Разовый перевод, основание: компенсация затрат по акту",Средний,Операция стандартного типа — рекомендована сверка документов
2025-09-10 03:34:58,49663193149190586518,"ООО ""Фирма_1009""",5067165726,40702810900000123456,"ООО ""СтройГарант""",7712345678,,174463.86,"Возврат по договору/кредиту, основание — корректировка, счет №46144",Низкий,Возврат по счёту/корректировка
2025-08-09 18:28:37,40702810900000123456,"ООО ""СтройГарант""",7712345678,58685014294019655698,"ООО ""Фирма_1001""",1693406088,575782.24,,Выплата заработной платы за августа 2025 по ведомости №3102,Низкий,Выплата заработной платы по ведомости
2025-08-13 06:37:42,49947174648877190659,"ООО ""Фирма_1016""",4013990490,40702810900000123456,"ООО ""СтройГарант""",7712345678,,2446676.03,"Оплата по договору поставки №6101 от 13.08.2025 (покупка), счет-фактура №17677",Высокий,Крупная единовременная выплата — требуется проверка контрагента
