Дата проводки,Счёт (наименование + ИНН),Сумма по дебету (RUB),Сумма по кредиту (RUB),Банк (условный БИК + наименование),Назначение платежа (детали),Риск,Причины_оценки_риска,Примечание
2025-08-01 08:09:36,"ООО ТРАНСЛАЙН, ИНН: 1322002203","263,316.77",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №392/2025 от 01.06.2025; счет-фактура №8024; ТТН №502; назнач.: оплата поставки; дата/время проводки 01.08.2025 08:09; счет-фактура №8024; ТТН №502,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 08:42:55,"ИП СИДОРОВ В.П., ИНН: 6606007006",,"85,912.24","Россельхозбанк, г. Москва (БИК: 044525100)","Перечисление заработной платы, период: 08.2025; ведомость №14; дата 01.08.2025 08:42",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 09:10:22,"ООО БЛЭКХОЛД, ИНН: 2029002900","36,635.96",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №798/2025 от 17.06.2025; счет-фактура №9828; ТТН №773; назнач.: оплата поставки; дата/время проводки 01.08.2025 09:10; счет-фактура №9828; ТТН №773,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 09:39:30,"ООО НЕОТЕК, ИНН: 1120002001",,"349,265.15","Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №184/2025 от 23.07.2025; счет-фактура №6688; ТТН №352; назнач.: оплата поставки; дата/время проводки 01.08.2025 09:39; счет-фактура №6688; ТТН №352,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 10:13:15,"ООО ПРОВАЙДЕР, ИНН: 2635003506",,"49,218.76","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 01.08.2025 10:13,Без риска,utilities_or_salary_small,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 10:42:18,"ООО ВНУТРЕННИЕ ОПЕРАЦИИ, ИНН: 2130003001",,"740,409.00","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Внутренний перевод между счетами организации; назнач.: внутр. перераспределение; дата 01.08.2025 10:42,Без риска,internal_transfer,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 10:47:35,"ООО МАЛЫЙ БИЗНЕС, ИНН: 2433003304","65,230.68",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №665/2025 от 04.06.2025; счет-фактура №9906; ТТН №877; назнач.: оплата поставки; дата/время проводки 01.08.2025 10:47; счет-фактура №9906; ТТН №877,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 11:27:12,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","60,736.52",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №768/2025 от 22.08.2025; счет-фактура №9118; ТТН №405; назнач.: оплата поставки; дата/время проводки 01.08.2025 11:27; счет-фактура №9118; ТТН №405,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 11:32:51,"ООО ЛОГИСТИК ГРУПП, ИНН: 5604001404","333,622.08",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №264/2025 от 24.07.2025; счет-фактура №3365; ТТН №377; назнач.: оплата поставки; дата/время проводки 01.08.2025 11:32; счет-фактура №3365; ТТН №377,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-01 11:44:13,"ООО СТРАНАIT, ИНН: 2231003102","166,922.84",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №516/2025 от 26.08.2025; счет-фактура №6541; ТТН №764; назнач.: оплата поставки; дата/время проводки 01.08.2025 11:44; счет-фактура №6541; ТТН №764,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
