date,debit_account,debit_name,debit_inn,credit_account,credit_name,credit_inn,debit_amount,credit_amount,purpose,risk
2025-08-18 14:35:30,50184819737418972154,ФЛ Петров Дмитрий,426192372446,90607231112712852464,ФЛ Смирнов Дмитрий,460666437462,119753.33,,налоги и сборы за товары,low
2025-08-18 15:09:44,44731584776863423461,ФЛ Иванов Сергей,351305231205,70538338848792069804,ООО «Дельта»,3924051475,24652.0,,консультационные согласно счёту №97932,low
2025-08-18 16:04:17,50184819737418972154,ФЛ Петров Дмитрий,426192372446,01851067949756792287,ИП «Квадро»,229604432786,97770.17,,аренда,medium
2025-08-18 16:04:39,65754602734151488814,ИП «Восток»,907895677605,94134750988986456522,ФЛ Петров Сергей,099576572873,,50381.9,бонус по договору №492,medium
2025-08-19 10:25:39,61706304891382496718,ИП «Точка»,788614057897,78284106727520885474,ИП «Омега»,452380552589,,161755.96,транспорт,low
2025-08-19 11:54:47,96762916032484137681,ИП «Опт»,475469263209,14773201017026952499,ИП «Маркет»,579678427138,,61414.28,коммунальные услуги,low
2025-08-19 12:12:33,84434481230834024240,ФЛ Смирнов Дмитрий,202939087879,51718702621745961586,ЗАО «Бета»,7662702893,30721.35,,вознаграждение за товары,low
2025-08-19 14:54:24,46684550489267389975,ИП «Юг»,626060290881,06724004991547887287,ЗАО «Юг»,0193802625,,29792.16,маркетинг за услуги,low
2025-08-19 15:43:59,38427978819148580783,АО «Градиент»,7219034042,65817390637579145211,ФЛ Кузнецов Егор,847488360760,60406.27,,налоги и сборы за услуги,low
2025-08-19 16:15:05,23045018961642361032,ИП «Градиент»,749050975902,37526547935646519398,АО «Юг»,5756924591,92744.74,,оплата услуг за услуги,medium
2025-08-20 10:52:53,65652341389994043898,ОАО «Кей»,6973112197,47146273014719597964,ИП «Бета»,947873002463,45322.35,,хостинг и связь по договору №7239,low
2025-08-20 12:47:18,19108839822587139718,АО «Градиент»,8339187853,10005155323415959775,ФЛ Попов Максим,327599801184,62395.66,,коммунальные услуги по договору №33,low
2025-08-20 13:08:36,16247314986430098180,ЗАО «Магнит»,0863765996,06046333127975736609,АО «Гео»,5267722334,36500.42,,аренда офиса за услуги,low
